INSTITUTION,EACITY,EASTATE,EASTATECODE,EASTARTYEAR,EASTARTMONTH,EASTARTQUARTER,EASTARTYQ,EATERMINATIONYEAR,EATERMINATIONMONTH,EATERMINATIONQUARTER,EATERMINATIONYQ,EATYPE,CHARTERNUMBER,COMPANYNAME,INDIVIDUAL,LOCATION,AMOUNT,STARTDATE,STARTDOCUMENT,TERMINATIONDATE,TERMINATIONDOCUMENT,DOCKETNUMBER
American National Bank Of New York,Fleischmanns,New York,NY,1991,5,2,19912,1992,1,1,19921,Cease & Desist Orders,8847,,,"Fleischmanns, NY",0,5/9/1991 12:00:00 AM -04:00,283,1/24/1992 12:00:00 AM -05:00,,
American National Bank Of New York,Fleischmanns,New York,NY,1990,12,4,19904,,,,,Bank Civil Money Penalties,8847,,,"Fleischmanns, NY",2400,12/3/1990 12:00:00 AM -05:00,1012,,,AA-EC-90-162
"American National Bank of Union Springs, The",Union Springs,Alabama,AL,1993,1,1,19931,1995,9,3,19953,Formal Agreements,12962,,,"Union Springs, AL",0,1/7/1993 12:00:00 AM -05:00,Jan-93,9/19/1995 12:00:00 AM -04:00,95-58,
American National Bank Post Oak,Houston,Texas,TX,1991,1,1,19911,1992,6,2,19922,Cease & Desist Orders,20220,,,"Houston, TX",0,1/9/1991 12:00:00 AM -05:00,162,6/26/1992 12:00:00 AM -04:00,,
American Security Bank N.A.,Washington,District of Columbia,DC,1991,1,1,19911,1993,9,3,19933,Formal Agreements,16565,,,"Washington, DC",0,1/15/1991 12:00:00 AM -05:00,156,9/17/1993 12:00:00 AM -04:00,93-233,
American West Bank National Association,Encino,California,CA,1993,7,3,19933,1995,9,3,19953,Formal Agreements,18157,,,"Encino, CA",0,7/19/1993 12:00:00 AM -04:00,93-178,9/7/1995 12:00:00 AM -04:00,95-59,
Americana National Bank,Albert Lea,Minnesota,MN,2004,2,1,20041,2005,1,1,20051,Cease & Desist Orders,10903,,,"Albert Lea, MN",0,2/17/2004 12:00:00 AM -05:00,2004-169,1/6/2005 12:00:00 AM -05:00,2005-189,AA-EC-2003-10
Americana National Bank,Albert Lea,Minnesota,MN,2003,3,1,20031,2005,1,1,20051,Cease & Desist Orders,10903,,,"Albert Lea, MN",0,3/31/2003 12:00:00 AM -05:00,2003-58,1/6/2005 12:00:00 AM -05:00,2005-189,AA-EC-2003-10
Ameritrust Company National Association,Cleveland,Ohio,OH,1992,1,1,19921,,,,,Bank Civil Money Penalties,18024,,,"Cleveland, OH",10000,1/17/1992 12:00:00 AM -05:00,994,,,AA-SCP-92-04
Ameritrust Company National Association,Cleveland,Ohio,OH,1992,1,1,19921,1992,7,3,19923,Securities Enforcement Actions,18024,,,"Cleveland, OH",0,1/17/1992 12:00:00 AM -05:00,994,7/13/1992 12:00:00 AM -04:00,,AA-SCP-92-04
"Amfirst Bank, National Association",McCook,Nebraska,NE,2010,12,4,20104,2013,2,1,20131,Formal Agreements,8031,,,"McCook, NE",0,12/15/2010 12:00:00 AM -05:00,2010-247,2/20/2013 12:00:00 AM -05:00,2013-019,
Amory FS & LA,Amory,Mississippi,MS,2015,4,2,20152,,,,,Bank Civil Money Penalties,702674,,,"Amory, MS",16700,4/3/2015 12:00:00 AM -04:00,2015-027,,,AA-SO-2015-22
Amory FS & LA,Amory,Mississippi,MS,2012,7,3,20123,2015,8,3,20153,Formal Agreements,702674,,,"Amory, MS",0,7/19/2012 12:00:00 AM -04:00,2012-168,8/11/2015 12:00:00 AM -04:00,2015-101,
"Amsouth Bank, N.A.",Birmingham,Alabama,AL,1992,1,1,19921,1994,7,3,19943,Securities Enforcement Actions,3185,,,"Birmingham, AL",0,1/15/1992 12:00:00 AM -05:00,971,7/8/1994 12:00:00 AM -04:00,,
"Amsouth Bank, N.A.",Birmingham,Alabama,AL,1992,1,1,19921,,,,,Bank Civil Money Penalties,3185,,,"Birmingham, AL",25000,1/14/1992 12:00:00 AM -05:00,971,,,AA-SCP-92-04
Anahuac National Bank,Anahuac,Texas,TX,2000,4,2,20002,2002,3,1,20021,Formal Agreements,16625,,,"Anahuac, TX",0,4/4/2000 12:00:00 AM -04:00,2000-39,3/13/2002 12:00:00 AM -05:00,2002-142,
ANB Financial National Association,Bentonville,Arkansas,AR,2007,6,2,20072,2008,5,2,20082,Formal Agreements,22721,,,"Bentonville, AR",0,6/25/2007 12:00:00 AM -04:00,2007-081,5/9/2008 12:00:00 AM -04:00,,
"Anchorbank,fsb",Madison,Wisconsin,WI,2010,8,3,20103,2014,4,2,20142,Prompt Corrective Action Directives,704474,,,"Madison, WI",0,8/31/2010 12:00:00 AM -04:00,CN 10-31,4/2/2014 12:00:00 AM -04:00,2014-049,
"Anchorbank,fsb",Madison,Wisconsin,WI,2009,6,2,20092,2014,4,2,20142,Cease & Desist Orders,704474,,,"Madison, WI",0,6/26/2009 12:00:00 AM -04:00,CN 09-17,4/2/2014 12:00:00 AM -04:00,2014-049,
Anderson National Bank,Anderson,South Carolina,SC,1991,11,4,19914,1993,10,4,19934,Formal Agreements,18282,,,"Anderson, SC",0,11/26/1991 12:00:00 AM -05:00,411,10/14/1993 12:00:00 AM -04:00,93-256,
Annapolis National Bank,Annapolis,Maryland,MD,1999,9,3,19993,2000,10,4,20004,Formal Agreements,21961,,,"Annapolis, MD",0,9/20/1999 12:00:00 AM -04:00,99-77,10/31/2000 12:00:00 AM -05:00,,
Anthem Bank & Trust,Plaquemine,Louisiana,LA,2015,8,3,20153,2017,5,2,20172,Formal Agreements,703874,,,"Plaquemine, LA",0,8/5/2015 12:00:00 AM -04:00,2015-098,5/24/2017 12:00:00 AM -04:00,2017-058,
Arab Bank PLC,New York,New York,NY,2005,8,3,20053,,,,,Bank Civil Money Penalties,80056,,,"New York, NY",24000000,8/17/2005 12:00:00 AM -04:00,2005-101,,,AA-EC-05-37
Arab Bank PLC,New York,New York,NY,2005,2,1,20051,,,,,Cease & Desist Orders,80056,,,"New York, NY",0,2/24/2005 12:00:00 AM -05:00,2005-14,,,AA-EC-05-12
Arab Bank PLC,New York,New York,NY,2005,2,1,20051,2005,2,1,20051,Cease & Desist Orders,80056,,,"New York, NY",0,2/8/2005 12:00:00 AM -05:00,2005-13,2/24/2005 12:00:00 AM -05:00,2005-14,AA-EC-05-11
"Armed Forces Bank of California, National Association",San Diego,California,CA,2010,5,2,20102,2015,1,1,20151,Formal Agreements,23946,,,"San Diego, CA",0,5/11/2010 12:00:00 AM -04:00,2010-120,1/22/2015 12:00:00 AM -05:00,2015-009,
"Armed Forces Bank, National Association",Ft. Leavenworth,Kansas,KS,2010,12,4,20104,2015,1,1,20151,Cease & Desist Orders,8796,,,"Ft. Leavenworth, KS",0,12/14/2010 12:00:00 AM -05:00,2010-242,1/22/2015 12:00:00 AM -05:00,2015-014,AA-EC-10-114
"Armed Forces Bank, National Association",Ft. Leavenworth,Kansas,KS,2010,5,2,20102,2010,12,4,20104,Cease & Desist Orders,8796,,,"Ft. Leavenworth, KS",0,5/11/2010 12:00:00 AM -04:00,2010-100,12/14/2010 12:00:00 AM -05:00,2010-242,AA-EC-10-44
"Asia Bank, N.A.",Flushing,New York,NY,2004,12,4,20044,2007,8,3,20073,Cease & Desist Orders,18432,,,"Flushing, NY",0,12/17/2004 12:00:00 AM -05:00,2004-153,8/1/2007 12:00:00 AM -04:00,2007-109,NE 2004-100
Asian American National Bank,Houston,Texas,TX,1993,3,1,19931,,,,,Bank Civil Money Penalties,17772,,,"Houston, TX",10000,3/24/1993 12:00:00 AM -05:00,93-394,,,
Asian American National Bank,Houston,Texas,TX,1991,4,2,19912,1993,8,3,19933,Cease & Desist Orders,17772,,,"Houston, TX",0,4/4/1991 12:00:00 AM -05:00,226,8/27/1993 12:00:00 AM -04:00,93-259,
Asian Pacific National Bank,San Gabriel,California,CA,2005,1,1,20051,2005,12,4,20054,Cease & Desist Orders,23006,,,"San Gabriel, CA",0,1/24/2005 12:00:00 AM -05:00,5-Mar,12/15/2005 12:00:00 AM -05:00,2005-180,
"Associated Bank, National Association",Neenah,Wisconsin,WI,1991,4,2,19912,1991,6,2,19912,Cease & Desist Orders,1602,,,"Neenah, WI",0,4/24/1991 12:00:00 AM -04:00,246,6/28/1991 12:00:00 AM -04:00,355,
"Associated Bank, National Association",Green Bay,Wisconsin,WI,2014,6,2,20142,,,,,Bank Civil Money Penalties,23695,,,"Green Bay, WI",500000,6/26/2014 12:00:00 AM -04:00,2014-094,,,
"Associated Bank, National Association",Green Bay,Wisconsin,WI,2012,2,1,20121,2014,3,1,20141,Cease & Desist Orders,23695,,,"Green Bay, WI",0,2/23/2012 12:00:00 AM -05:00,2012-023,3/11/2014 12:00:00 AM -04:00,2014-047,AA-EC-12-35
"Associated Bank, National Association",Green Bay,Wisconsin,WI,2007,11,4,20074,,,,,Bank Civil Money Penalties,23695,,,"Green Bay, WI",125000,11/19/2007 12:00:00 AM -05:00,2007-135,,,AA-EC-07-67
Atlantic Coast Bank,Jacksonville,Florida,FL,2012,8,3,20123,2015,3,1,20151,Cease & Desist Orders,717022,,,"Jacksonville, FL",0,8/10/2012 12:00:00 AM -04:00,2012-184,3/26/2015 12:00:00 AM -04:00,2015-030,AA-EC-12-104
Atlantic Coast Bank,Jacksonville,Florida,FL,2010,12,4,20104,2012,8,3,20123,Cease & Desist Orders,717022,,,"Jacksonville, FL",0,12/10/2010 12:00:00 AM -05:00,SA,8/10/2012 12:00:00 AM -04:00,2012-184,AA-EC-12-104
Atlantic National Bank,Brunswick,Georgia,GA,2011,4,2,20112,2014,12,4,20144,Cease & Desist Orders,23563,,,"Brunswick, GA",0,4/18/2011 12:00:00 AM -04:00,2011-055,12/4/2014 12:00:00 AM -05:00,2014-166,AA-EC-11-31
"Atlantic Trust Company, National Association",Chicago,Illinois,IL,2005,5,2,20052,2007,8,3,20073,Formal Agreements,24582,,,"Chicago, IL",0,5/11/2005 12:00:00 AM -04:00,2005-57,8/22/2007 12:00:00 AM -04:00,2007-107,
Atlas Bank,Brooklyn,New York,NY,2012,3,1,20121,,,,,Formal Agreements,705910,,,"Brooklyn, NY",0,3/15/2012 12:00:00 AM -04:00,2012-074,,,
"Auburn Savings Bank, FSB",Auburn,Maine,ME,2012,2,1,20121,2015,12,4,20154,Formal Agreements,701305,,,"Auburn, ME",0,2/28/2012 12:00:00 AM -05:00,2012-070,12/9/2015 12:00:00 AM -05:00,2015-144,
Aurora Bank FSB,Littleton,Colorado,CO,2013,2,1,20131,2013,3,1,20131,Cease & Desist Orders,706069,,,"Littleton, CO",0,2/28/2013 12:00:00 AM -05:00,2013-123,3/28/2013 12:00:00 AM -04:00,2013-051,
Aurora Bank FSB,Littleton,Colorado,CO,2011,4,2,20112,2013,3,1,20131,Cease & Desist Orders,706069,,,"Littleton, CO",0,4/13/2011 12:00:00 AM -04:00,NE 11-16,3/28/2013 12:00:00 AM -04:00,2013-051,
Aurora Bank FSB,Wilmington,Delaware,DE,2010,11,4,20104,2013,6,2,20132,Cease & Desist Orders,706069,,,"Wilmington, DE",0,11/30/2010 12:00:00 AM -05:00,NE-10-33,6/15/2013 12:00:00 AM -04:00,,
Ballston Spa National Bank,Ballston Spa,New York,NY,2001,6,2,20012,2004,3,1,20041,Formal Agreements,1253,,,"Ballston Spa, NY",0,6/28/2001 12:00:00 AM -04:00,2001-114,3/15/2004 12:00:00 AM -05:00,2004-31,
Banco Bradesco S.A.,New York,New York,NY,2015,1,1,20151,2015,10,4,20154,Cease & Desist Orders,80041,,,"New York, NY",0,1/26/2015 12:00:00 AM -05:00,2015-003,10/28/2015 12:00:00 AM -04:00,2015-119,AA-EC-2014-116
Banco de Chile,New York,New York,NY,2005,10,4,20054,,,,,Bank Civil Money Penalties,80042,,,"New York, NY",3000000,10/11/2005 12:00:00 AM -04:00,2005-140,,,AA-EC-05-84
Banco de Chile,New York,New York,NY,2005,2,1,20051,2008,3,1,20081,Cease & Desist Orders,80042,,,"New York, NY",0,2/1/2005 12:00:00 AM -05:00,5-Feb,3/17/2008 12:00:00 AM -04:00,2008-026,AA-EC-05-09
Banco de Galicia Y Buenos Aires S.A.,New York,New York,NY,2002,3,1,20021,2003,1,1,20031,Cease & Desist Orders,80109,,,"New York, NY",0,3/11/2002 12:00:00 AM -05:00,2002-24,1/30/2003 12:00:00 AM -05:00,,
Banco de LA Republica Oriental Del Uruguay,New York,New York,NY,2002,8,3,20023,2007,5,2,20072,Formal Agreements,80029,,,"New York, NY",0,8/14/2002 12:00:00 AM -04:00,2002-83,5/1/2007 12:00:00 AM -04:00,2007-062,
Banco Do Estado Do Parana,New York,New York,NY,2000,5,2,20002,,,,,Bank Civil Money Penalties,80059,,,"New York, NY",75000,5/24/2000 12:00:00 AM -04:00,2000-51,,,
Banco Do Estado Do Parana S.A.,New York,New York,NY,1998,1,1,19981,2001,1,1,20011,Cease & Desist Orders,80059,,,"New York, NY",0,1/8/1998 12:00:00 AM -05:00,98-95,1/18/2001 12:00:00 AM -05:00,,
Banco Economico S.A.,New York,New York,NY,1995,12,4,19954,2000,3,1,20001,Cease & Desist Orders,80001,,,"New York, NY",0,12/19/1995 12:00:00 AM -05:00,95-92,3/2/2000 12:00:00 AM -05:00,,AA-CC-95-14
Banco Economico S.A.,New York,New York,NY,1995,10,4,19954,2000,3,1,20001,Cease & Desist Orders,80001,,,"New York, NY",0,10/20/1995 12:00:00 AM -04:00,95-45,3/20/2000 12:00:00 AM -05:00,,
"Banco Pedroso, N.A.",Coral Gables,Florida,FL,1990,5,2,19902,,,,,Bank Civil Money Penalties,18283,,,"Coral Gables, FL",1200,5/16/1990 12:00:00 AM -04:00,71,,,
"Banco Pedroso, National Association",Coral Gables,Florida,FL,1991,7,3,19913,1992,8,3,19923,Cease & Desist Orders,18283,,,"Coral Gables, FL",0,7/11/1991 12:00:00 AM -04:00,321,8/21/1992 12:00:00 AM -04:00,695,
"Banco Popular, National Association - Florida",Sanford,Florida,FL,1993,2,1,19931,1995,1,1,19951,Formal Agreements,21061,,,"Sanford, FL",0,2/3/1993 12:00:00 AM -05:00,Feb-93,1/26/1995 12:00:00 AM -05:00,Feb-95,
Banctexas Houston N.A.,Houston,Texas,TX,1992,4,2,19922,1992,5,2,19922,Formal Agreements,18172,,,"Houston, TX",0,4/28/1992 12:00:00 AM -04:00,525,5/31/1992 12:00:00 AM -04:00,,
Bangkok Bank Public Company Limited,New York City,New York,NY,2006,4,2,20062,2008,2,1,20081,Cease & Desist Orders,80080,,,"New York City, NY",0,4/20/2006 12:00:00 AM -04:00,2006-29,2/21/2008 12:00:00 AM -05:00,2008-013,
"Bank 2000, National Association",McLean,Virginia,VA,1991,2,1,19911,1995,8,3,19953,Cease & Desist Orders,20578,,,"McLean, VA",0,2/6/1991 12:00:00 AM -05:00,196,8/18/1995 12:00:00 AM -04:00,,
Bank 360,Beresford,South Dakota,SD,2012,2,1,20121,,,,,Cease & Desist Orders,705919,,,"Beresford, SD",0,2/13/2012 12:00:00 AM -05:00,2012-022,,,AA-WE-12-23
Bank 360,Beresford,South Dakota,SD,2010,3,1,20101,2012,2,1,20121,Cease & Desist Orders,705919,,,"Beresford, SD",0,3/17/2010 12:00:00 AM -04:00,CN 10-09,2/14/2012 12:00:00 AM -05:00,2012-051,
"Bank Meridian, National Association",Hampton,New Hampshire,NH,1990,3,1,19901,1991,10,4,19914,Cease & Desist Orders,14835,,,"Hampton, NH",0,3/22/1990 12:00:00 AM -05:00,58,10/10/1991 12:00:00 AM -04:00,,
"Bank Midwest, National Association",Kansas City,Missouri,MO,2010,5,2,20102,,,,,Cease & Desist Orders,22015,,,"Kansas City, MO",0,5/11/2010 12:00:00 AM -04:00,2010-104,,,AA-EC-10-43
"Bank Of America Nw, National Association",Seattle,Washington,WA,1994,6,2,19942,,,,,Bank Civil Money Penalties,11280,,,"Seattle, WA",75000,6/15/1994 12:00:00 AM -04:00,94-103,,,
"Bank of America, National Association",Charlotte,North Carolina,NC,2015,6,2,20152,,,,,Bank Civil Money Penalties,13044,,,"Charlotte, NC",1104530,6/29/2015 12:00:00 AM -04:00,2015-084,,,AA-EC-2015-19
"Bank of America, National Association",Charlotte,North Carolina,NC,2015,6,2,20152,2017,7,3,20173,Cease & Desist Orders,13044,,,"Charlotte, NC",0,6/29/2015 12:00:00 AM -04:00,2015-080,7/12/2017 12:00:00 AM -04:00,2017-059,AA-EC-2015-18
"Bank of America, National Association",Charlotte,North Carolina,NC,2015,5,2,20152,,,,,Bank Civil Money Penalties,13044,,,"Charlotte, NC",30000000,5/29/2015 12:00:00 AM -04:00,2015-047,,,15-Feb
"Bank of America, National Association",Charlotte,North Carolina,NC,2015,5,2,20152,,,,,Cease & Desist Orders,13044,,,"Charlotte, NC",0,5/29/2015 12:00:00 AM -04:00,2015-046,,,15-Jan
"Bank of America, National Association",Charlotte,North Carolina,NC,2014,11,4,20144,,,,,Bank Civil Money Penalties,13044,,,"Charlotte, NC",250000000,11/11/2014 12:00:00 AM -05:00,2014-171,,,AA-EC-14-99
"Bank of America, National Association",Charlotte,North Carolina,NC,2014,11,4,20144,,,,,Cease & Desist Orders,13044,,,"Charlotte, NC",0,11/11/2014 12:00:00 AM -05:00,2014-158,,,AA-EC-14-99
"Bank of America, National Association",Charlotte,North Carolina,NC,2014,4,2,20142,,,,,Bank Civil Money Penalties,13044,,,"Charlotte, NC",25000000,4/7/2014 12:00:00 AM -04:00,2014-028,,,AA-EC-2014-6
"Bank of America, National Association",Charlotte,North Carolina,NC,2014,4,2,20142,2016,4,2,20162,Cease & Desist Orders,13044,,,"Charlotte, NC",0,4/7/2014 12:00:00 AM -04:00,2014-027,4/25/2016 12:00:00 AM -04:00,2016-052,AA-EC-2014-5
"Bank of America, National Association",Charlotte,North Carolina,NC,2013,2,1,20131,2015,6,2,20152,Cease & Desist Orders,13044,,,"Charlotte, NC",0,2/28/2013 12:00:00 AM -05:00,2013-127,6/16/2015 12:00:00 AM -04:00,2015-059,AA-EC-11-12
"Bank of America, National Association",Charlotte,North Carolina,NC,2012,2,1,20121,,,,,Formal Agreements,13044,,,"Charlotte, NC",0,2/27/2012 12:00:00 AM -05:00,2012-039,,,
"Bank of America, National Association",Charlotte,North Carolina,NC,2011,4,2,20112,2015,6,2,20152,Cease & Desist Orders,13044,,,"Charlotte, NC",0,4/13/2011 12:00:00 AM -04:00,2011-048,6/16/2015 12:00:00 AM -04:00,2015-059,AA-EC-11-12
"Bank of America, National Association",Charlotte,North Carolina,NC,2010,12,4,20104,2016,5,2,20162,Formal Agreements,13044,,,"Charlotte, NC",0,12/7/2010 12:00:00 AM -05:00,2010-239,5/13/2016 12:00:00 AM -04:00,2016-060,
"Bank of America, National Association",Charlotte,North Carolina,NC,2005,2,1,20051,2007,2,1,20071,Formal Agreements,13044,,,"Charlotte, NC",0,2/9/2005 12:00:00 AM -05:00,5-Oct,2/27/2007 12:00:00 AM -05:00,2007-012,AA-EC-04-35
"Bank of America, National Association",Charlotte,North Carolina,NC,2015,2,1,20151,,,,,Notices Filed,13044,,Lamond A. Parker,"Charlotte, NC",0,2/25/2015 12:00:00 AM -05:00,N14-002,,,AA-EC-2014-94
"Bank Of America, National Trust And Savings Association",San Francisco,California,CA,1992,1,1,19921,,,,,Bank Civil Money Penalties,13044,,,"San Francisco, CA",100000,1/15/1992 12:00:00 AM -05:00,974,,,
"Bank Of America, Nt & Sa",San Francisco,California,CA,1992,1,1,19921,1997,1,1,19971,Securities Enforcement Actions,13044,,,"San Francisco, CA",0,1/14/1992 12:00:00 AM -05:00,974,1/31/1997 12:00:00 AM -05:00,Oct-97,AA-SCP-92-04
"Bank of Anderson, National Association",Anderson,South Carolina,SC,2008,10,4,20084,,,,,Formal Agreements,23656,,,"Anderson, SC",0,10/15/2008 12:00:00 AM -04:00,2008-141,,,
Bank of Atlanta,Atlanta,Georgia,GA,2010,11,4,20104,2014,7,3,20143,Cease & Desist Orders,718004,,,"Atlanta, GA",0,11/19/2010 12:00:00 AM -05:00,SE 10-52,7/17/2014 12:00:00 AM -04:00,2014-105,
"Bank of California, National Association, The",San Francisco,California,CA,1992,1,1,19921,,,,,Securities Enforcement Actions,21541,,,"San Francisco, CA",0,1/14/1992 12:00:00 AM -05:00,975,,,AA-SCP-92-04
Bank of China,New York,New York,NY,2015,12,4,20154,,,,,Formal Agreements,80028,,,"New York, NY",0,12/16/2015 12:00:00 AM -05:00,2015-147,,,AA-EC-2015-85
Bank of China,New York,New York,NY,2005,9,3,20053,2009,5,2,20092,Cease & Desist Orders,80028,,,"New York, NY",0,9/7/2005 12:00:00 AM -04:00,2005-126,5/6/2009 12:00:00 AM -04:00,2009-077,AA-NE-2005-79
Bank of China,New York,New York,NY,2005,9,3,20053,2009,5,2,20092,Cease & Desist Orders,80091,,,"New York, NY",0,9/7/2005 12:00:00 AM -04:00,2005-126,5/6/2009 12:00:00 AM -04:00,2009-077,AA-NE-2005-79
Bank of China,Los Angeles,California,CA,2005,9,3,20053,2009,5,2,20092,Cease & Desist Orders,80096,,,"Los Angeles, CA",0,9/7/2005 12:00:00 AM -04:00,2005-126,5/6/2009 12:00:00 AM -04:00,2009-077,AA-NE-2005-79
Bank of China,New York,New York,NY,2003,10,4,20034,2005,9,3,20053,Cease & Desist Orders,80028,,,"New York, NY",0,10/23/2003 12:00:00 AM -04:00,2003-125,9/7/2005 12:00:00 AM -04:00,2005-126,AA-NE-2005-79
Bank of China,New York,New York,NY,2003,10,4,20034,2005,9,3,20053,Cease & Desist Orders,80091,,,"New York, NY",0,10/23/2003 12:00:00 AM -04:00,2003-125,9/7/2005 12:00:00 AM -04:00,2005-126,AA-NE-2005-79
Bank of China,Los Angeles,California,CA,2003,10,4,20034,2005,9,3,20053,Cease & Desist Orders,80096,,,"Los Angeles, CA",0,10/23/2003 12:00:00 AM -04:00,2003-125,9/7/2005 12:00:00 AM -04:00,2005-126,AA-NE-2005-79
Bank of China,New York,New York,NY,2002,1,1,20021,,,,,Bank Civil Money Penalties,80028,,,"New York, NY",10000000,1/17/2002 12:00:00 AM -05:00,2-Jan,,,
Bank of China,New York,New York,NY,2002,1,1,20021,2003,10,4,20034,Cease & Desist Orders,80028,,,"New York, NY",0,1/17/2002 12:00:00 AM -05:00,2-Jan,10/23/2003 12:00:00 AM -04:00,2003-125,
Bank of China,New York,New York,NY,2002,1,1,20021,2003,10,4,20034,Cease & Desist Orders,80091,,,"New York, NY",0,1/17/2002 12:00:00 AM -05:00,2-Jan,10/23/2003 12:00:00 AM -04:00,2003-125,
Bank of China,Los Angeles,California,CA,2002,1,1,20021,2003,10,4,20034,Cease & Desist Orders,80096,,,"Los Angeles, CA",0,1/17/2002 12:00:00 AM -05:00,2-Jan,10/23/2003 12:00:00 AM -04:00,2003-125,
"Bank Of Columbia, N.A.",Columbia,South Carolina,SC,1992,12,4,19924,1994,11,4,19944,Formal Agreements,21542,,,"Columbia, SC",0,12/10/1992 12:00:00 AM -05:00,788,11/29/1994 12:00:00 AM -05:00,94-187,
"Bank of Communications Co., Ltd - New York Branch",New York,New York,NY,2003,2,1,20031,2005,3,1,20051,Formal Agreements,80107,,,"New York, NY",0,2/4/2003 12:00:00 AM -05:00,3-Nov,3/31/2005 12:00:00 AM -05:00,2005-39,
"Bank Of Florida, National Association",Cheifland,Florida,FL,1991,4,2,19912,1993,11,4,19934,Formal Agreements,17773,,,"Cheifland, FL",0,4/25/1991 12:00:00 AM -04:00,301,11/12/1993 12:00:00 AM -05:00,,
"Bank of Indiana, National Association",Dana,Indiana,IN,2009,11,4,20094,2013,10,4,20134,Formal Agreements,5997,,,"Dana, IN",0,11/6/2009 12:00:00 AM -05:00,2009-199,10/25/2013 12:00:00 AM -04:00,,
"Bank Of Lodi, N.A.",Lodi,California,CA,1992,10,4,19924,1994,12,4,19944,Formal Agreements,17868,,,"Lodi, CA",0,10/20/1992 12:00:00 AM -04:00,723,12/16/1994 12:00:00 AM -05:00,94-197,
"Bank of Manhattan, National Association",El Segundo,California,CA,2014,11,4,20144,,,,,Formal Agreements,24754,,,"El Segundo, CA",0,11/20/2014 12:00:00 AM -05:00,2014-146,,,
Bank of Maumee,Maumee,Ohio,OH,2012,10,4,20124,,,,,Cease & Desist Orders,718042,,,"Maumee, OH",0,10/3/2012 12:00:00 AM -04:00,2012-231,,,
Bank of Maumee,Maumee,Ohio,OH,2010,10,4,20104,2012,10,4,20124,Formal Agreements,718042,,,"Maumee, OH",0,10/21/2010 12:00:00 AM -04:00,SA,10/3/2012 12:00:00 AM -04:00,2012-231,
Bank Of New England - West National Association,Springfield,Massachusetts,MA,1990,5,2,19902,1991,1,1,19911,Cease & Desist Orders,308,,,"Springfield, MA",0,5/11/1990 12:00:00 AM -04:00,77,1/6/1991 12:00:00 AM -05:00,,AA-EC-90-70
"Bank Of New England, National Association",Boston,Massachusetts,MA,1990,2,1,19901,1991,1,1,19911,Cease & Desist Orders,475,,,"Boston, MA",0,2/26/1990 12:00:00 AM -05:00,38,1/6/1991 12:00:00 AM -05:00,,AA-EC-90-21
"Bank Of New England-Old Colony, National Association",Providence,Rhode Island,RI,1990,5,2,19902,1990,12,4,19904,Cease & Desist Orders,18724,,,"Providence, RI",0,5/3/1990 12:00:00 AM -04:00,61,12/31/1990 12:00:00 AM -05:00,,AA-EC-90-67
Bank Of New Hampshire National Association,Manchester,New Hampshire,NH,1991,5,2,19912,1991,10,4,19914,Formal Agreements,1059,,,"Manchester, NH",0,5/23/1991 12:00:00 AM -04:00,284,10/1/1991 12:00:00 AM -04:00,,
"Bank of New York Trust Company of Florida, N.A., The",Miami,Florida,FL,1990,5,2,19902,,,,,Bank Civil Money Penalties,17871,,,"Miami, FL",3000,5/24/1990 12:00:00 AM -04:00,72,,,
Bank of St. Augustine,St. Augustine,Florida,FL,2012,3,1,20121,,,,,Formal Agreements,714007,,,"St. Augustine, FL",0,3/22/2012 12:00:00 AM -04:00,2012-097,,,
"Bank Of The Desert, N.A.",La Quinta,California,CA,1992,10,4,19924,1995,6,2,19952,Formal Agreements,18731,,,"La Quinta, CA",0,10/14/1992 12:00:00 AM -04:00,722,6/1/1995 12:00:00 AM -04:00,95-24,
"Bank of The Lakes, National Association",Owasso,Oklahoma,OK,2013,2,1,20131,,,,,Cease & Desist Orders,23235,,,"Owasso, OK",0,2/27/2013 12:00:00 AM -05:00,2013-011,,,
"Bank of The Lakes, National Association",Owasso,Oklahoma,OK,2009,6,2,20092,2013,2,1,20131,Formal Agreements,23235,,,"Owasso, OK",0,6/19/2009 12:00:00 AM -04:00,2009-091,2/27/2013 12:00:00 AM -05:00,2013-022,
Bank of The Rio Grande National Association,Las Cruces,New Mexico,NM,2010,2,1,20101,2012,2,1,20121,Formal Agreements,20439,,,"Las Cruces, NM",0,2/17/2010 12:00:00 AM -05:00,2010-056,2/8/2012 12:00:00 AM -05:00,2012-049,
"Bank Of The Rio Grandes, N.A.",Las Cruces,New Mexico,NM,1992,8,3,19923,1994,3,1,19941,Formal Agreements,20439,,,"Las Cruces, NM",0,8/4/1992 12:00:00 AM -04:00,677,3/21/1994 12:00:00 AM -05:00,94-52,
"Bank Of The Rockies, N.A.",Colorado Springs,Colorado,CO,1991,6,2,19912,1994,3,1,19941,Formal Agreements,17226,,,"Colorado Springs, CO",0,6/13/1991 12:00:00 AM -04:00,315,3/14/1994 12:00:00 AM -05:00,94-93,
"Bank of The Rockies, National Association",White Sulphur Springs,Montana,MT,2012,8,3,20123,2015,7,3,20153,Cease & Desist Orders,3375,,,"White Sulphur Springs, MT",0,8/30/2012 12:00:00 AM -04:00,2012-215,7/1/2015 12:00:00 AM -04:00,2015-087,AA-WE-12-102
